7807913CL0001;7808800120507 
7807913CL0001;7808810008406 
7807913CL0001;7808800120507 
7807913CL0001;7808810008406 
7807913CL0001;7808800108642 
7807913CL0001;7808800125588 
7807913CL0001;7808800123072 
7807913CL0001;7808810008406 
7807913CL0001;7808800108642 
7807913CL0001;7808800085820 
7807913CL0001;7808810005658 
7808800117842;7807975001925 
7808800117842;7808800107607 
7807913CL0001;7808810007126 
7807913CL0001;7808800108642 
7808800117842;7808800107607 
7807913CL0001;7808800016008 
7807913CL0001;7808800125588 
7807913CL0001;7808810008406 
7807913CL0001;7808800001332 
7807913CL0001;7808800120507 
7807913CL0001;7808800108642 
7807913CL0001;7808800123072 
7807913CL0001;7808810008406 
7807913CL0001;7808810007126 
7807913CL0001;7808810008406 
7807913CL0001;7808810007096 
7807913CL0001;7808810008383 
7807913CL0001;7808810005658 
7808800117842;7807975001925 
7807913CL0001;7808800076491 
7807913CL0001;7808800109915 
7808800117842;7807975001925 
7807913CL0001;7808810008406 
7808800117842;7807975000089 
7807913CL0001;7808800120507 
7807913CL0001;7808800120507 
7807913CL0001;7808800001349 
7807913CL0001;7808800001332 
7807913CL0001;7808800120507 
7807913CL0001;7808800120507 
7807913CL0001;7808800001356 
7807913CL0001;7808810008406 
7808800117842;7807975000423 
7807913CL0001;7808810008383 
7807913CL0001;7808810005658 
7808800117842;7807975001925 
7807913CL0001;7808810005672 
7807913CL0001;7808810005672 
7807913CL0001;7808810005672 
7807913CL0001;7808800001356 
7807913CL0001;7808810005658 
7807913CL0001;7808810008406 
7807913CL0001;7808810008383 
7807913CL0001;7808800108642 
7807913CL0001;7808810008390 
7807913CL0001;7808800091081 
7807913CL0001;7808800120507 
7807913CL0001;7808810008383 
7807913CL0001;7808800125588 
7807913CL0001;7808810007003 
7807913CL0001;7808800120507 
7807913CL0001;7808810005634 
7807913CL0001;7808810008390 
7807913CL0001;7808800125588 
7807913CL0001;7808800120507 
7807913CL0001;7808800091081 
7807913CL0001;7808810008406 
7807913CL0001;7808800120507 
7807913CL0001;7808800120507 
